2000 3400
49:0.010397 57:0.010581 65:0.010571 71:0.011489 176:0.011899 190:0.016758 191:0.022290 242:0.011516 246:0.013483 269:0.010909 290:0.042746 291:0.020820 414:0.014490 530:0.013109 543:0.023804 544:0.014978 545:0.070480 551:0.010727 665:0.010477 704:0.047143 708:0.024893 745:0.010540 756:0.015625 769:0.040535 778:0.013714 780:0.026209 787:0.012093 848:0.012503 883:0.019537 969:0.013596 970:0.014511 995:0.011471 997:0.010849 1000:0.012676 1001:0.012927 1006:0.031528 1011:0.114790 1023:0.013932 1057:0.017790 1074:0.014322 1109:0.011172 1130:0.014755 1194:0.017035 1417:0.018839 1421:0.010420 1422:0.011163 1477:0.021431 1521:0.044328 1528:0.012283 1537:0.010531 1616:0.010607 1658:0.011530 1746:0.012365 1773:0.012144 1781:0.067174 1784:0.012158 1845:0.032450 1905:0.030873 1943:0.027518 1966:0.011803 2071:0.117092 2073:0.054095 2075:0.025642 2084:0.011701 2151:0.014450 2161:0.013803 2171:0.011427 2281:0.012661 2308:0.012108 2330:0.011673 2331:0.018067 2337:0.034188 2370:0.010456 2394:0.012307 2395:0.012400 2419:0.018031 2420:0.015511 2571:0.010659 2573:0.329756 2575:0.011203 2584:0.011772 2618:0.013650 2637:0.020656 2685:0.354859 2688:0.011078 2716:0.017602 2753:0.011596 2761:0.010539 2911:0.218053 2915:0.012667 2970:0.035869 3035:0.011365 3065:0.021701 3099:0.015478 3128:0.025539 3136:0.032492 3151:0.011601 3217:0.010994 3321:0.237747 3327:0.934423
7:0.013122 10:0.012510 49:0.018487 65:0.011390 67:0.011712 89:0.011446 96:0.011771 119:0.011083 269:0.016560 290:0.388725 291:0.011057 318:0.011105 342:0.011686 356:0.011195 385:0.010824 474:0.055782 476:0.059188 555:0.011102 574:0.011752 576:0.010947 590:0.011749 665:0.013501 745:0.013553 749:0.013015 755:0.017122 782:0.017980 826:0.019508 894:0.073667 896:0.013415 917:0.013703 970:0.021281 994:0.036179 1023:0.012438 1130:0.012378 1152:0.012448 1162:0.012064 1169:0.012055 1194:0.017487 1232:0.010807 1294:0.014391 1408:0.014429 1417:0.016713 1437:0.044932 1445:0.014277 1461:0.447334 1464:0.022608 1465:0.025983 1467:0.662225 1469:0.089553 1477:0.013091 1518:0.012834 1547:0.014758 1616:0.013350 1637:0.012459 1742:0.012504 1746:0.022203 1755:0.012441 1773:0.017604 1810:0.012154 1849:0.011546 1863:0.017213 1951:0.011674 2152:0.013469 2153:0.011368 2281:0.014463 2315:0.010817 2355:0.012351 2370:0.012390 2417:0.012497 2453:0.029919 2456:0.018715 2534:0.011687 2564:0.011067 2578:0.011271 2662:0.010806 2685:0.065533 2710:0.016109 2714:0.014479 2716:0.011564 2719:0.014603 2731:0.029661 2756:0.011239 2761:0.017169 2898:0.011101 2984:0.050629 3019:0.011285 3020:0.010875 3065:0.025697 3099:0.018053 3118:0.012847 3123:0.012265 3124:0.012736 3128:0.024734 3151:0.013364 3230:0.012835 3256:0.019318 3321:0.146336 3327:0.968449 3354:0.011981 3368:0.012624
6:0.031804 49:0.020722 58:0.030522 107:0.019328 131:0.025183 135:0.038024 136:0.022935 211:0.037518 212:0.027947 213:0.026322 290:0.031675 430:0.025982 463:0.024318 536:0.060714 555:0.023349 585:0.027881 606:0.021851 667:0.019707 669:0.028094 674:0.037807 784:0.021404 792:0.023681 800:0.030397 804:0.044077 805:0.070798 818:0.020024 837:0.036749 846:0.030198 865:0.022315 905:0.025044 977:0.029291 979:0.032270 980:0.025418 1163:0.035861 1164:0.025913 1188:0.020450 1419:0.043601 1516:0.029221 1535:0.159333 1627:0.628632 1667:0.020625 1698:0.020758 1734:0.020095 1742:0.027946 1746:0.044776 1859:0.025439 1867:0.023285 1884:0.022119 1912:0.151720 1913:0.027347 1917:0.020878 1928:0.070731 1937:0.029033 1939:0.022147 1941:0.027278 2201:0.020300 2271:0.066689 2304:0.022093 2307:0.027897 2315:0.030217 2385:0.019823 2417:0.023306 2425:0.029630 2501:0.022902 2503:0.019538 2505:0.029036 2506:0.044029 2507:0.684364 2508:0.019469 2509:0.019247 2510:0.020547 2539:0.040313 2540:0.022104 2541:0.025149 2591:0.034061 2630:0.026560 2631:0.023782 2685:0.176487 2708:0.023917 2710:0.161784 2716:0.022077 2732:0.021419 2733:0.096186 2759:0.023795 2785:0.040303 2817:0.023805 2901:0.021409 2968:0.040679 3014:0.021023 3209:0.023395 3211:0.028569 3212:0.034731 3224:0.225704 3225:0.282056 3277:0.021091 3280:0.028693 3289:0.020102 3321:0.411586 3327:0.903175 3370:0.023169
28:0.011922 49:0.016125 93:0.018655 107:0.012741 183:0.016826 209:0.014115 284:0.045600 290:0.022475 301:0.017029 362:0.015953 375:0.054101 376:0.066735 397:0.015519 398:0.019380 411:0.011987 438:0.041489 463:0.011982 470:0.020221 483:0.013133 826:0.015902 896:0.145403 924:0.027969 1004:0.014568 1063:0.017466 1170:0.016750 1194:0.021204 1294:0.013997 1369:0.016310 1437:0.020009 1445:0.018146 1489:0.020164 1490:0.016935 1566:0.024487 1616:0.012389 1622:0.017628 1623:0.020437 1627:0.254254 1674:0.017375 1700:0.012693 1726:0.015095 1733:0.029385 1766:0.017069 1774:0.017208 1781:0.042085 1847:0.032476 1855:0.017925 1967:0.013022 1969:0.016610 2004:0.017504 2115:0.022539 2127:0.016697 2151:0.021386 2152:0.013861 2203:0.673417 2206:0.027434 2208:0.023601 2209:0.018399 2212:0.023078 2213:0.022853 2216:0.018732 2217:0.018199 2230:0.021194 2268:0.015578 2315:0.013832 2384:0.014686 2417:0.077495 2421:0.016294 2513:0.022915 2515:0.019563 2614:0.024894 2637:0.020208 2640:0.017167 2649:0.014240 2650:0.024520 2654:0.040164 2700:0.014431 2710:0.025527 2740:0.035248 2873:0.019806 2919:0.021382 2920:0.019082 2923:0.017438 2926:0.019274 3064:0.016222 3073:0.012940 3118:0.014460 3123:0.012331 3124:0.014608 3128:0.024578 3132:0.021397 3151:0.011968 3161:0.014662 3247:0.018356 3321:0.410611 3327:0.888377 3333:0.011944 3340:0.012882 3354:0.016871 3369:0.014230 3374:0.014282
11:0.026371 25:0.024174 108:0.019536 246:0.018429 257:0.018943 268:0.049923 279:0.018377 432:0.018418 495:0.018773 522:0.025151 543:0.034777 544:0.019668 545:0.027823 696:0.026547 704:0.036160 708:0.031466 754:0.018609 769:0.188762 773:0.021404 777:0.119514 780:0.085639 787:0.031029 833:0.023839 959:0.018272 960:0.021145 1002:0.026489 1006:0.029625 1011:0.075744 1023:0.018695 1055:0.024216 1074:0.018600 1109:0.019863 1176:0.028610 1186:0.027584 1187:0.023852 1397:0.029951 1417:0.074591 1477:0.035367 1521:0.027533 1537:0.024454 1555:0.019941 1584:0.039153 1660:0.018510 1685:0.025724 1744:0.026328 1784:0.025955 1827:0.029743 1845:0.035193 1873:0.046106 1964:0.487475 2008:0.019178 2015:0.020183 2133:0.018479 2151:0.026639 2308:0.022834 2329:0.018228 2331:0.020138 2337:0.151860 2339:0.047539 2340:0.024561 2341:0.032857 2342:0.032837 2343:0.029192 2361:0.224665 2364:0.043144 2388:0.024774 2419:0.019530 2522:0.020534 2571:0.019430 2573:0.456701 2584:0.018488 2618:0.018919 2685:0.193552 2716:0.044156 2858:0.019660 2911:0.373414 2918:0.025052 2927:0.020501 3008:0.026334 3034:0.039145 3035:0.051123 3036:0.047663 3060:0.073111 3065:0.159598 3108:0.021176 3136:0.028333 3196:0.022450 3216:0.212506 3234:0.018906 3235:0.018383 3248:0.019711 3262:0.072131 3263:0.051942 3273:0.035007 3274:0.026906 3321:0.433275 3327:0.842835 3350:0.032963 3385:0.022659 3394:0.026756
10:0.017352 15:0.013764 30:0.020466 49:0.016272 57:0.016388 65:0.120512 111:0.016294 242:0.015901 268:0.014203 290:0.016358 291:0.057252 323:0.127402 362:0.014268 463:0.058079 551:0.016906 616:0.016409 620:0.013852 812:0.016794 826:0.477655 838:0.197718 839:0.014897 994:0.027747 1031:0.013641 1042:0.014794 1046:0.014592 1130:0.014127 1135:0.016385 1152:0.013602 1155:0.016398 1188:0.015485 1194:0.021812 1240:0.014555 1260:0.014244 1320:0.015404 1350:0.028129 1365:0.014415 1382:0.014649 1444:0.017260 1449:0.074239 1451:0.046687 1463:0.019671 1468:0.018523 1481:0.112199 1549:0.014224 1637:0.014763 1693:0.019220 1694:0.147605 1721:0.014489 1758:0.049229 1781:0.383645 1810:0.014042 1920:0.019553 2087:0.017344 2151:0.016657 2152:0.016282 2326:0.015367 2387:0.018302 2447:0.258636 2462:0.275118 2545:0.015257 2555:0.013890 2584:0.022823 2622:0.028070 2637:0.018695 2649:0.022812 2654:0.013748 2661:0.015688 2676:0.013709 2685:0.046367 2695:0.013888 2710:0.041018 2714:0.019214 2739:0.013958 2761:0.013616 2775:0.016380 2787:0.042313 2788:0.663165 2797:0.046217 2869:0.013503 2871:0.017980 2933:0.211646 2945:0.109793 2955:0.014520 3065:0.297972 3073:0.016892 3075:0.014125 3095:0.020117 3096:0.131324 3110:0.017676 3118:0.014231 3123:0.016317 3128:0.019921 3214:0.015480 3230:0.014703 3321:0.426037 3322:0.048926 3327:0.769272 3361:0.020660 3369:0.015721 3373:0.020840
10:0.013063 30:0.022351 33:0.013102 49:0.015238 57:0.024247 65:0.021137 97:0.016043 108:0.016502 242:0.015550 268:0.015679 269:0.019346 290:0.037238 291:0.018087 298:0.013095 307:0.013851 356:0.012274 384:0.013917 495:0.011510 535:0.022597 551:0.014606 621:0.011108 745:0.013699 755:0.011200 769:0.053543 777:0.014368 789:0.014641 826:0.015087 970:0.013628 991:0.012598 994:0.194821 1011:0.021537 1023:0.023998 1042:0.014670 1046:0.015613 1086:0.017451 1130:0.016611 1186:0.012328 1187:0.012242 1194:0.037105 1240:0.014329 1374:0.067348 1375:0.093976 1403:0.011137 1417:0.028778 1477:0.030411 1616:0.011806 1637:0.011485 1688:0.012121 1689:0.011523 1742:0.045687 1781:0.019483 1827:0.020201 1844:0.012207 1905:0.034364 1955:0.010900 1964:0.015864 2001:0.012095 2015:0.013185 2016:0.011443 2065:0.011961 2133:0.340568 2153:0.016339 2342:0.013500 2343:0.011282 2361:0.017797 2364:0.011669 2573:0.041308 2584:0.017206 2649:0.027740 2676:0.011407 2685:0.524967 2688:0.011700 2710:0.025795 2714:0.018522 2716:0.039671 2761:0.011746 2911:0.043497 2918:0.014578 2960:0.013921 3060:0.012079 3065:0.025412 3078:0.010961 3099:0.010945 3113:0.018660 3123:0.011056 3128:0.013101 3151:0.011757 3190:0.015163 3191:0.043404 3194:0.104804 3208:0.017100 3217:0.011847 3262:0.011658 3268:0.030739 3321:0.507158 3327:0.985321 3329:0.011770 3347:0.012615 3350:0.126997 3385:0.015788
10:0.018543 62:0.018058 67:0.054814 256:0.019267 266:0.016326 268:0.024998 269:0.017350 284:0.799251 285:0.016242 288:0.060237 290:0.054902 300:0.074758 301:0.024360 302:0.023585 355:0.019400 410:0.018472 551:0.021371 559:0.036860 560:0.018559 567:0.020007 614:0.021250 658:0.022889 660:0.021661 727:0.018495 813:0.016878 826:0.032399 859:0.021348 909:0.021351 953:0.020413 969:0.022060 994:0.361382 996:0.016993 1027:0.016245 1096:0.035942 1194:0.016221 1224:0.042138 1273:0.044047 1330:0.052240 1334:0.024852 1398:0.035045 1399:0.047565 1400:0.027777 1417:0.020818 1423:0.019425 1437:0.047994 1512:0.023777 1544:0.043099 1545:0.033978 1547:0.129773 1616:0.016568 1658:0.036508 1688:0.019846 1693:0.034292 1707:0.038278 1711:0.029620 1714:0.049782 1746:0.034203 1758:0.329815 1781:0.017277 1931:0.018171 1932:0.024171 1953:0.016590 2164:0.019513 2185:0.017055 2187:0.015951 2345:0.032310 2346:0.023302 2379:0.026106 2384:0.023542 2453:0.139031 2454:0.059794 2455:0.035157 2456:0.543337 2457:0.068685 2458:0.019647 2547:0.075318 2548:0.167197 2559:0.017074 2584:0.017137 2637:0.019133 2643:0.019617 2685:0.074191 2703:0.017905 2714:0.016504 2716:0.062716 2809:0.018243 2879:0.029670 3018:0.016176 3062:0.111059 3063:0.066625 3065:0.028476 3078:0.018192 3116:0.026250 3128:0.017182 3230:0.019195 3259:0.020168 3269:0.023460 3282:0.018011 3321:0.294469 3327:0.936878
7:0.013868 28:0.012974 30:0.100183 57:0.011509 65:0.012073 107:0.013988 185:0.238661 197:0.017334 204:0.013404 268:0.017320 290:0.048700 291:0.023283 351:0.011852 401:0.143878 466:0.012808 477:0.013667 497:0.029693 512:0.046618 665:0.012652 695:0.012500 709:0.013743 782:0.011600 801:0.011559 825:0.021509 861:0.015240 896:0.023020 901:0.011755 919:0.013037 970:0.014512 1023:0.015450 1025:0.016704 1049:0.011840 1098:0.012603 1099:0.124391 1100:0.018608 1101:0.084844 1106:0.060499 1130:0.014588 1194:0.064742 1251:0.016916 1294:0.014008 1376:0.801190 1417:0.023154 1437:0.024807 1445:0.013739 1470:0.012292 1503:0.024270 1504:0.053836 1594:0.031753 1598:0.018365 1606:0.016694 1627:0.391005 1674:0.017490 1726:0.012691 1742:0.031254 1746:0.048728 1781:0.048090 1786:0.013766 1864:0.012119 1893:0.014793 1912:0.031097 2106:0.012667 2125:0.013414 2126:0.012208 2151:0.011399 2152:0.012966 2281:0.011718 2303:0.029890 2315:0.053837 2317:0.016471 2358:0.012371 2384:0.013029 2600:0.014927 2603:0.015852 2604:0.011844 2672:0.013598 2684:0.012749 2685:0.282219 2710:0.014064 2714:0.011852 2716:0.016162 2762:0.023216 2779:0.011979 2951:0.015017 3019:0.012001 3031:0.012064 3073:0.016801 3078:0.012936 3091:0.034720 3099:0.011755 3123:0.042453 3151:0.012063 3174:0.012273 3245:0.025991 3321:0.667373 3327:0.708753 3333:0.014514 3340:0.029327 3351:0.027304 3355:0.011936
190:0.300840 191:0.309785 218:0.053633 246:0.015829 255:0.016152 268:0.066845 290:0.197486 291:0.065457 296:0.016082 414:0.015320 417:0.077493 538:0.073636 544:0.018012 551:0.014059 704:0.051083 708:0.051345 756:0.018963 766:0.017678 769:0.054306 771:0.030405 778:0.017589 883:0.143724 929:0.660309 934:0.065836 936:0.014367 937:0.276114 939:0.019075 940:0.015918 941:0.050095 950:0.025244 994:0.014775 1000:0.014267 1006:0.035364 1011:0.025657 1074:0.021071 1108:0.137517 1123:0.063859 1194:0.038442 1229:0.015090 1439:0.019547 1492:0.103654 1494:0.042950 1511:0.128860 1543:0.330111 1548:0.114486 1722:0.027493 1746:0.027882 1768:0.067787 1781:0.017345 1807:0.014511 1845:0.015277 1899:0.014187 1956:0.014075 1967:0.042589 2040:0.033305 2041:0.057773 2042:0.034187 2071:0.041018 2073:0.210301 2075:0.023824 2077:0.051287 2084:0.015467 2171:0.014393 2308:0.015979 2319:0.078865 2328:0.015599 2329:0.018766 2331:0.021432 2337:0.014604 2347:0.035922 2349:0.017764 2571:0.019945 2573:0.548832 2584:0.039729 2618:0.019482 2621:0.017039 2685:0.535245 2709:0.014440 2714:0.022891 2716:0.023298 2739:0.014742 2753:0.021150 2788:0.187146 2810:0.014823 2894:0.070264 2911:0.018557 2916:0.013958 2959:0.034331 2990:0.194347 3052:0.015812 3096:0.198841 3099:0.019593 3136:0.027140 3170:0.027702 3176:0.020421 3204:0.021676 3230:0.020104 3271:0.017831 3321:0.223037 3327:0.743930
10:0.009493 28:0.013826 30:0.010804 49:0.010644 57:0.011447 58:0.009498 65:0.011592 93:0.009971 97:0.019774 107:0.014575 158:0.011361 204:0.014613 207:0.015293 228:0.009670 234:0.011429 268:0.030666 269:0.013867 284:0.227104 288:0.010182 290:0.024492 291:0.014905 300:0.023637 301:0.020564 362:0.010407 431:0.010562 433:0.010671 456:0.013252 483:0.015302 489:0.011439 491:0.016901 551:0.010376 556:0.013681 618:0.010341 668:0.012401 687:0.014006 745:0.010363 749:0.013542 826:0.014227 859:0.012345 861:0.017611 896:0.048824 913:0.031067 969:0.010736 970:0.011482 994:0.027721 1130:0.009533 1194:0.019286 1214:0.010420 1379:0.011037 1437:0.016346 1470:0.011454 1479:0.010773 1616:0.011049 1618:0.010514 1636:0.009374 1653:0.010707 1654:0.015505 1725:0.010503 1735:0.011699 1742:0.013479 1746:0.012362 1758:0.019692 1781:0.203622 1877:0.012041 1967:0.010272 2090:0.014983 2126:0.012711 2151:0.017134 2152:0.009941 2164:0.011740 2248:0.013559 2273:0.010003 2317:0.052669 2366:0.010986 2367:0.011937 2417:0.035411 2584:0.011493 2637:0.017068 2654:0.033189 2685:0.042053 2710:0.041573 2779:0.010238 2787:0.014404 2797:0.020063 2849:0.009858 2951:0.013464 3065:0.013002 3073:0.010675 3078:0.010922 3079:0.010311 3116:0.011490 3124:0.013763 3128:0.020240 3151:0.013955 3159:0.012383 3217:0.013226 3221:0.011068 3312:0.020060 3321:0.222708 3327:0.775569
49:0.012596 65:0.019631 111:0.014454 188:0.024999 268:0.016429 269:0.023658 290:0.027059 291:0.019458 390:0.013678 554:0.036244 613:0.018948 733:0.017428 745:0.014857 749:0.013526 755:0.012811 758:0.013307 767:0.020559 782:0.014302 826:0.014860 839:0.013566 969:0.044155 970:0.023009 994:0.024904 1023:0.014899 1030:0.020570 1054:0.030813 1108:0.013844 1130:0.013761 1194:0.018466 1223:0.038573 1239:0.016104 1250:0.027515 1394:0.023823 1409:0.024060 1410:0.018860 1438:0.019974 1442:0.014576 1484:0.014159 1498:0.075104 1558:0.014514 1738:0.013664 1743:0.013551 1748:0.012673 1773:0.013931 1781:0.024140 1905:0.030976 1920:0.013429 1922:0.015165 1956:0.013243 2067:0.036177 2068:0.014868 2071:0.746372 2072:0.018242 2073:0.361550 2074:0.013727 2075:0.154962 2076:0.014692 2077:0.013345 2088:0.022101 2123:0.015934 2124:0.025503 2161:0.012663 2162:0.035746 2289:0.012695 2298:0.014779 2299:0.013025 2462:0.116576 2536:0.012656 2553:0.017476 2555:0.013910 2573:0.066231 2638:0.014768 2649:0.016202 2685:0.285425 2686:0.018003 2688:0.016280 2695:0.014233 2710:0.075993 2716:0.026072 2788:0.220845 2848:0.014313 2854:0.013846 2945:0.013101 2966:0.017008 2969:0.015842 2970:0.022676 2971:0.014308 3002:0.015791 3035:0.021256 3078:0.014127 3096:0.018070 3099:0.021183 3110:0.014552 3118:0.022603 3128:0.034199 3140:0.026848 3165:0.014033 3321:0.231659 3327:0.981916 3328:0.024149
62:0.013419 67:0.033651 97:0.017947 141:0.013857 269:0.015120 513:0.017614 551:0.014186 553:0.019182 554:0.013355 559:0.020124 581:0.017548 613:0.015928 614:0.019293 690:0.016583 704:0.034058 733:0.015836 769:0.018119 779:0.015097 929:0.026744 994:0.038562 1011:0.133751 1018:0.015842 1034:0.027412 1054:0.057588 1108:0.013859 1130:0.016634 1194:0.049562 1223:0.013899 1250:0.014858 1263:0.013618 1276:0.014056 1343:0.015062 1375:0.017345 1394:0.032419 1409:0.016132 1410:0.015089 1452:0.021254 1453:0.016837 1484:0.013224 1492:0.044183 1493:0.019098 1494:0.048285 1498:0.059732 1501:0.045369 1511:0.079849 1538:0.045856 1547:0.245699 1711:0.039485 1712:0.013198 1713:0.028576 1714:0.022788 1743:0.017634 1781:0.049894 2040:0.056677 2041:0.038661 2042:0.051776 2067:0.022058 2071:0.537725 2073:0.194540 2074:0.014634 2075:0.131467 2076:0.017281 2077:0.014659 2162:0.014369 2249:0.043524 2289:0.016271 2335:0.025711 2345:0.015433 2346:0.029277 2406:0.015079 2453:0.013914 2456:0.028323 2458:0.017940 2462:0.026680 2552:0.015928 2559:0.016462 2573:0.045261 2581:0.015469 2613:0.013752 2638:0.013328 2685:0.467450 2688:0.013206 2854:0.017508 2911:0.035471 2933:0.020011 2966:0.014783 2969:0.013393 2971:0.014340 3002:0.016311 3035:0.015343 3090:0.026809 3128:0.045522 3136:0.062538 3140:0.013933 3165:0.014153 3194:0.025239 3269:0.015867 3271:0.132773 3321:0.121157 3327:0.772561
2:0.018034 65:0.040279 112:0.019185 115:0.020669 190:0.034934 259:0.018651 290:0.027595 291:0.076413 295:0.027409 403:0.021524 544:0.032166 587:0.022083 704:0.051346 745:0.063359 756:0.062683 757:0.036911 766:0.046370 769:0.024759 771:0.018817 778:0.248538 780:0.025347 785:0.017790 787:0.034677 883:0.284334 938:0.031366 969:0.058631 970:0.047718 1000:0.018126 1001:0.020278 1011:0.147111 1023:0.017556 1034:0.057178 1109:0.018623 1116:0.026366 1227:0.020085 1390:0.118017 1406:0.022880 1439:0.030664 1440:0.020775 1441:0.024236 1462:0.040765 1492:0.021943 1494:0.020644 1511:0.017424 1528:0.019498 1538:0.022205 1588:0.022957 1666:0.019708 1711:0.025570 1724:0.022443 1746:0.021511 1845:0.019014 1899:0.018747 1905:0.522122 1906:0.038491 1966:0.018309 1987:0.051324 2009:0.020258 2041:0.023625 2042:0.019504 2071:0.038534 2084:0.016902 2122:0.033541 2161:0.035031 2249:0.017637 2328:0.022693 2330:0.017830 2394:0.017455 2395:0.022445 2406:0.027670 2407:0.027254 2447:0.025004 2568:0.021862 2573:0.639864 2574:0.018443 2575:0.017231 2584:0.023292 2680:0.019744 2685:0.301168 2707:0.017313 2710:0.459182 2747:0.023743 2753:0.029442 2755:0.017303 2782:0.070130 2828:0.224677 2831:0.408876 2832:0.031433 2911:0.017386 2990:0.017526 3032:0.020437 3036:0.032231 3090:0.051413 3096:0.742698 3099:0.042612 3118:0.026736 3165:0.026322 3271:0.019174 3321:0.659450 3327:0.771425
10:0.021427 49:0.015979 57:0.014768 65:0.025360 97:0.017227 107:0.020110 118:0.016582 242:0.016922 266:0.017193 268:0.027015 269:0.030364 290:0.038786 291:0.018899 341:0.016862 362:0.017891 391:0.016064 411:0.017599 438:0.047092 483:0.032181 491:0.228264 505:0.061196 539:0.015808 551:0.020023 711:0.015621 745:0.015896 755:0.015150 826:0.022287 861:0.037464 896:0.132755 913:0.019691 994:0.214964 1023:0.021368 1042:0.016401 1046:0.015338 1130:0.015617 1170:0.015376 1194:0.024522 1240:0.017152 1262:0.026465 1437:0.066786 1461:0.151521 1464:0.015525 1467:0.222679 1637:0.016545 1674:0.026612 1693:0.019657 1694:0.017305 1748:0.017740 1781:0.084431 1905:0.037336 1906:0.014819 1920:0.015599 1949:0.035870 1970:0.014733 1971:0.014497 1976:0.038917 1987:0.229371 2071:0.051969 2073:0.020773 2075:0.019698 2085:0.014736 2117:0.015045 2145:0.024388 2151:0.015029 2152:0.014726 2298:0.021003 2300:0.043690 2387:0.016717 2417:0.128332 2421:0.033365 2447:0.089638 2536:0.015299 2555:0.017754 2609:0.108701 2615:0.356604 2616:0.204318 2637:0.015564 2649:0.029408 2654:0.045333 2676:0.016706 2685:0.068531 2710:0.142416 2716:0.026038 2761:0.014921 2788:0.290115 2791:0.017990 2869:0.014450 2881:0.015668 2910:0.022106 3073:0.019869 3096:0.036305 3103:0.028553 3118:0.047437 3123:0.014723 3128:0.026909 3165:0.019800 3240:0.015180 3321:0.702844 3327:0.956806 3373:0.026704
71:0.022208 93:0.086041 97:0.022240 176:0.017739 191:0.022528 246:0.023222 290:0.156987 386:0.027219 403:0.018350 414:0.024131 543:0.057228 544:0.032963 545:0.062806 546:0.023350 576:0.017493 704:0.095741 708:0.088148 745:0.020743 756:0.056871 757:0.057024 766:0.026272 769:0.107023 771:0.017075 773:0.034969 777:0.019741 778:0.087555 780:0.052399 782:0.034864 785:0.019085 787:0.034453 848:0.027321 883:0.107739 886:0.021637 932:0.017063 936:0.030088 970:0.027643 995:0.026662 997:0.021087 1000:0.024383 1001:0.018900 1006:0.046201 1008:0.021992 1011:0.060685 1023:0.022001 1074:0.019757 1109:0.029897 1116:0.021454 1130:0.020628 1302:0.017860 1439:0.169499 1440:0.087034 1528:0.024100 1742:0.033651 1844:0.051392 1845:0.023518 1899:0.074725 1903:0.029578 1905:0.611017 1906:0.208510 1964:0.022392 1966:0.446510 2001:0.064389 2084:0.022843 2161:0.019634 2171:0.028210 2308:0.025416 2329:0.046085 2330:0.023110 2331:0.048447 2370:0.020497 2388:0.023729 2394:0.025390 2395:0.026967 2420:0.037043 2451:0.026886 2569:0.034889 2571:0.019491 2573:0.999819 2574:0.038191 2575:0.106149 2618:0.027959 2685:0.334898 2753:0.029940 2782:0.021676 2804:0.022763 2831:0.020891 2911:0.112741 2915:0.020332 2916:0.017666 2973:0.022901 3032:0.025792 3078:0.046768 3099:0.018605 3106:0.018443 3107:0.024254 3108:0.020580 3118:0.019113 3165:0.024479 3321:0.535734 3327:0.930025
71:0.020745 134:0.025698 181:0.036366 246:0.020817 311:0.020593 414:0.024980 417:0.020672 544:0.025076 552:0.072165 589:0.022413 698:0.021203 704:0.178667 708:0.036324 750:0.020892 756:0.029234 769:0.036337 777:0.022376 780:0.019922 883:0.022470 885:0.058201 929:0.043748 932:0.020208 933:0.029217 934:0.042555 935:0.020460 936:0.024093 997:0.019241 1006:0.051343 1011:0.137650 1034:0.023872 1071:0.030361 1074:0.038300 1075:0.023973 1109:0.022216 1116:0.023280 1266:0.020515 1302:0.022325 1316:0.032747 1373:0.076639 1411:0.021964 1412:0.024861 1439:0.023068 1613:0.030511 1662:0.021964 1742:0.067215 1749:0.019714 1845:0.024518 1846:0.038278 1903:0.025317 1905:0.106999 1906:0.021301 1966:0.021452 2049:0.024860 2084:0.022063 2114:0.047121 2171:0.024950 2218:0.019462 2308:0.023267 2329:0.020644 2394:0.031946 2395:0.021603 2420:0.034821 2459:0.020333 2475:0.029464 2569:0.020779 2571:0.021406 2573:0.733286 2574:0.022152 2575:0.019867 2618:0.037847 2636:0.019169 2685:0.125757 2691:0.021304 2709:0.022080 2717:0.020509 2753:0.038901 2806:0.019890 2810:0.021067 2811:0.071259 2828:0.094086 2911:0.081647 2912:0.021737 2915:0.021978 2916:0.023365 2953:0.022861 2959:0.022192 2973:0.024245 3032:0.019087 3052:0.021244 3086:0.022018 3184:0.245829 3208:0.020646 3284:0.082769 3297:0.112322 3300:0.031456 3301:0.109731 3321:0.144313 3327:0.983635 3383:0.247973 3384:0.728271
15:0.016374 49:0.014043 65:0.026277 96:0.014421 97:0.034018 119:0.012647 120:0.017711 121:0.023415 269:0.036045 290:0.093907 291:0.016277 477:0.026745 505:0.022743 621:0.017310 636:0.013385 637:0.013348 640:0.018799 665:0.014026 690:0.013428 745:0.034383 755:0.015254 782:0.015078 826:0.013905 861:0.017169 942:0.014176 944:0.016014 970:0.015053 994:0.016877 1023:0.031033 1130:0.022669 1179:0.022131 1181:0.016147 1205:0.047474 1285:0.021459 1374:0.012999 1377:0.020615 1379:0.022719 1381:0.016226 1493:0.013441 1594:0.029716 1699:0.012569 1746:0.019381 1773:0.020274 1781:0.060618 1789:0.013041 1844:0.016756 1874:0.023159 1905:0.626142 1906:0.035115 1949:0.015990 1958:0.169011 2041:0.013838 2042:0.019154 2065:0.013900 2104:0.020512 2105:0.014179 2145:0.016680 2279:0.014553 2281:0.024317 2315:0.035321 2370:0.014334 2391:0.013490 2424:0.013767 2451:0.040156 2452:0.035057 2584:0.026948 2585:0.028059 2609:0.067364 2613:0.019288 2637:0.015824 2654:0.017058 2684:0.016936 2685:0.338254 2688:0.015377 2710:0.023133 2714:0.016094 2716:0.013580 2761:0.015226 2788:0.088400 2831:0.025081 2849:0.033415 2882:0.014279 2924:0.016991 2942:0.119447 2995:0.012612 3090:0.022991 3096:0.045252 3099:0.016069 3114:0.014628 3123:0.016216 3128:0.015393 3165:0.024378 3190:0.024370 3194:0.015823 3230:0.014677 3271:0.014415 3321:0.331633 3327:0.910891 3361:0.017662 3373:0.021852
